source;product_id;product_name;price;currency;categories;product_url;image_url;scrape_date,,,,
Kalys;;La carafe Foundouk Vert d'eau;48.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/la-carafe-foundouk/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,,
Kalys;;Série de 6 Gobelets Foundouk Noir satiné;87.000TND;TND;art-de-la-table, assiettes-et-plats, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/serie-de-6-gobelets-foundouk-noir-satine/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,
Kalys;;Le grand disque Noja Bleu d'eau;80.000TND;TND;art-de-la-table, accessoires-de-table, les-rangements, rangements;https://www.kalys-designstore.com/produit/le-grand-disque-noja-bleu-deau/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8
Kalys;;Le Set de table NOJA marron;30.000TND;TND;art-de-la-table, accessoires-de-table, les-rangements, rangements;https://www.kalys-designstore.com/produit/le-set-de-table-noja-marron/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8
Kalys;;Le Set de table Noja nature;30.000TND;TND;art-de-la-table, accessoires-de-table, les-rangements, rangements;https://www.kalys-designstore.com/produit/le-set-de-table-noja-nature/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8
Kalys;;Série de 6 Gobelets Foundouk Vert d'eau;87.000TND;TND;art-de-la-table, assiettes-et-plats, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/serie-de-6-gobelet-foundouk/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,
Kalys;;La table Lyra carré noire;250.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/la-table-lyra-carre-noire/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:23.8,,
Kalys;;La table Lyra noire;250.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/la-table-lyra-noire/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:23.8,,
Kalys;;La table Siena;240.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/la-table-siena/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,,
Kalys;;Le miroir Alfa Nature;175.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-miroir-alfa-nature/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,,
Kalys;;Le miroir Alfa Marron;175.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-miroir-alfa-marron/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,,
Kalys;;Le grand miroir Khomsa Rose Pale;175.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-grand-miroir-khomsa-rose-pale/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,,
Kalys;;Le miroir Khomsa Or Royal;120.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-miroir-khomsa-or-royal/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,,
Kalys;;Le grand miroir OASIS;220.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-grand-miroir-oasis/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:23.8,,
Kalys;;Plateau Cuivre Martelé Gold;120.000TND;TND;art-de-la-table, accessoires-de-table, rangements;https://www.kalys-designstore.com/produit/plateau-cuivre-gold/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202000%202000'%2F%3E;04:27.0,
Kalys;;Le Grand miroir poisson;160.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/le-grand-miroir-poisson/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:27.0,,
Kalys;;Pouf en mouton;280.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/pouf-mouton/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202000%202000'%2F%3E;04:27.0,,
Kalys;;La table Lyra;250.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/la-table-lyra/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202000%202000'%2F%3E;04:27.0,,
Kalys;;La table Lyra carré;250.000TND;TND;la-touche-deco, mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/la-table-lyra-carre/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202000%202000'%2F%3E;04:27.0,,
Kalys;;Sélection craquelé Miel;99.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-craquele-miel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:27.0,,
Kalys;;Parfum d'ambiance au Musc blanc 150 ml;27.000TND;TND;bougies-et-senteurs, la-touche-deco;https://www.kalys-designstore.com/produit/parfum-dambiance-au-musc-blanc-gf/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:27.0,,
Kalys;;Sélection verre à pied craquelé miel;185.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-verre-a-pied-miel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202560%202560'%2F%3E;04:27.0,,
